Product List as of 17/06/2026,,,,,,,,,,
Product Code,Supplier Name,Product Description,Created On,Default Sell Price,Bin Location,Allocated,On Hand,Available,Base Unit,On Purchase
9KDH677RHS,D.N. Jewels,"9k YG Split Diamond Huggie - Right Hand Side earring Only with Marquise Feature 10mm wide, 38D=0.245ct. Meas. 12mm Inner Diameter",08/05/2026,794.44,,0.0000,0.0000,0,Each,0.5
9KER206Y20,Lotus,9k YG Round Hoop Earrings 20mm Diameter. Square Tube with Textured Sides 2mm,05/05/2026,373.33,ER206,0.0000,16.0000,16,Each,0
9KDR124SIZEN,Divya,9k YG Dress Ring Set With Natural Diamonds 49D = 0.50ct (G/SI) Size N.,30/04/2026,"1,777.78",DR124,1.0000,1.0000,0,Each,0
9KCH471RU19.5CM,Divya,"9k WG Solid Oval Link Ruby Bracelet 1.4mm Wide 19.5cm . Bezel Set with 5Ru = 0.35ct, O-Rings at 16.5 & 18cm.",29/04/2026,502.22,CH371RU,0.0000,2.0000,2,Each,0
9KTFL1G-AJ45W,Lotus,9k WG Diamond Cut Trace Chain 1.1mm Wide with Letter G (6.5x6mm) 45cm with Adjustable Finding,27/04/2026,281.19,,0.0000,0.0000,0,Each,5
9KTFL1G-AJ19W,Lotus,9k WG Diamond Cut Trace Chain 1.1mm Wide with Letter G (6.5x6mm) 19cm with Adjustable Finding,27/04/2026,187.78,,0.0000,0.0000,0,Each,5
YEH-WATSON,Sherlock Holmes Detect Ltd,Yehuda Watson AI Lab-Grown Diamond Detector with Phone Included. And International Freight. Subscription fee of US$12.50 per month.,22/04/2026,"4,890.00",,1.0000,8.0000,7,Each,0
NAP-S9500,"Napco Precision Instruments Co., Ltd",Napco S9500 Series Gold Tester (including Weighing Balance & Mini Printer),22/04/2026,"11,900.00",,10.0000,1.0000,-9,Each,0
9KER548-1,Inah Co Ltd - 9k CZ Huggies,9k YG Pearl Oval Huggie Earring. 16mm x 10mm (10mm FWP),20/04/2026,331.11,,0.0000,0.0000,0,Each,5
9KLDR107RUSIZEP,Divya,9k YG Lab Ruby and Lab Diamond Princess Diana Ring 12D=0.42ct 1RU=1.52ct Size P,17/04/2026,553.52,LDR107,0.0000,1.0000,1,Each,0
9KLDP103WEM45CM,Divya,New_9K WG 40DC Oval Link Chain with Lab Emerald and Lab Diamond Princess Diana Pendant. 12D = 0.42ct 1EM = 1.2ct. Chain 45cm with O-Ring at 42cm,17/04/2026,523.13,LDP103,0.0000,0.0000,0,Each,3
9KLDR108WSASIZEP,Divya,9k WG Lab Sapphire and Lab Diamond Dress Ring IGI Certified 3D=0.42ct 4SA=0.87ct Size P,17/04/2026,529.02,LDR108,0.0000,0.0000,0,Each,3
9KLDR107RUSIZEM,Divya,9k YG Lab Ruby and Lab Diamond Princess Diana Ring 12D=0.42ct 1RU=1.52ct Size M,17/04/2026,553.52,LDR107,0.0000,1.0000,1,Each,0
9KLCH310W45CM,Divya,9k WG 0.8mm Oval Link Chain with 5 Bezel Set Diamonds 5D=1.0ct. Chain 45cm with O-Ring at 42cm,17/04/2026,436.83,LCH310,0.0000,2.0000,2,Each,0
9KLDH102W,Divya,"9k WG Lab Diamond Huggies, 12mm.  10D=4.02ct 3.75mm wide",17/04/2026,818.08,LDH102,0.0000,1.0000,1,Each,0
9KLDR105SIZEP,Divya,9k YG Lab Diamond Bezel Toi Et Moi Ring Brilliant and Emerald. 2D Approx. 3.57ct IGI Certified Size P,17/04/2026,"1,421.40",LDR105,0.0000,1.0000,1,Each,0
9KLDR105SIZEM,Divya,9k YG Lab Diamond Bezel Duo Ring Brilliant and Emerald. 2D Approx 3.57ct IGI Certified Size M,17/04/2026,"1,421.40",LDR105,0.0000,0.0000,0,Each,3
9KLDR104WSIZEP,Divya,9k WG Lab Diamond Emerald Trilogy Ring 3D=2.38ct Size P,17/04/2026,972.07,LDR104,0.0000,1.0000,1,Each,0
9KLDR104WSIZEM,Divya,9k WG Lab Diamond Emerald Trilogy Ring 3D=2.38ct Size M,17/04/2026,972.07,LDR104,0.0000,1.0000,1,Each,0
9KLDR102WSETSIZEP,Divya,9k WG Lab Diamond Rectangular Brilliant Halo Ring Set. Total Weight 50D Approx. 4.3ct  IGI Certified  Size P,17/04/2026,"2,001.09",LDR102,0.0000,0.0000,0,Each,3
9KLDR102WSETSIZEM,Divya,9k WG Lab Diamond Rectangular Brilliant Halo Ring Set. Total Weight 50D Approx. 4.3ct  IGI Certified Size M,17/04/2026,"2,001.09",LDR102,0.0000,0.0000,0,Each,3
9KLDR101WSETSIZEP,Divya,9k WG Lab Diamond Oval Halo Ring Set. Total Weight 47D Approx. 3.73ct  IGI Certified  Size P,17/04/2026,"1,809.44",LDR101,0.0000,1.0000,1,Each,0
9KLDR101WSETSIZEM,Divya,9k WG Lab Diamond Oval Halo Ring Set. Total Weight 47D Approx. 3.73ct  IGI Certified  Size M,17/04/2026,"1,809.44",LDR101,0.0000,1.0000,1,Each,0
9KLDSE200W,Divya,9k WG Lab Diamond Emerald Cut Studs 2D=2.19ct,17/04/2026,715.17,LDSE200,0.0000,2.0000,2,Each,0
9KLDSP300W,Divya,9k WG Lab Diamond Princess Studs IGI Certified 2D=3.0ct with Screwback Butterfly,17/04/2026,"1,242.27",LDSP300,0.0000,2.0000,2,Each,0
9KLDP10245CM,Divya,9K YG 0.8mm Oval Link Chain with 1 Oval Lab Diamond Approx 2.08ct IGI Certified. Chain 45cm with O-Ring at 42cm,17/04/2026,823.65,LDP102,0.0000,1.0000,1,Each,0
