*Product Code,*Product Description,Notes,Barcode,Unit of Measure,Min Stock Alert Level,Max Stock Alert Level,Label Template,SO Label Template,PO Label Template,SO Label Quantity,PO Label Quantity,Supplier Code,Supplier Name,Supplier Product Code,Default Purchase Price,Minimum Order Quantity,Minimum Sale Quantity,Default Sell Price,Minimum Sell Price,Sell Price Tier 1,Sell Price Tier 2,Sell Price Tier 3,Sell Price Tier 4,Sell Price Tier 5,Sell Price Tier 6,Sell Price Tier 7,Sell Price Tier 8,Sell Price Tier 9,Sell Price Tier 10,Pack Size,Weight,Width,Height,Depth,Reminder,Last Cost,Nominal Cost,Comments,Copy Comments for Sales,Copy Comments for Purchases,Never Diminishing,Product Group,Product Sub Group,Product Brand,Sales Account,COGS Account,Purchase Account,Purchase Tax Type,Purchase Tax Rate,Sales Tax Type,Sale Tax Rate,IsAssembledProduct,IsComponent,IsObsoleted,Is Sellable,Is Purchasable,Default Purchasing Unit of Measure,Is Batch Tracked
MP214GA,925 Fancy Juvite Pnd set with Garnet = 0.90ct. RRP$270.00,,MP214GA,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP214,,,,185.1400,155.5100,518.3800,,185.1400,175.8800,166.6200,,,,,185.1400,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP214PE,925 Fancy Juvite Pnd set with Peridot = 0.90ct. RRP$270.00,,MP214PE,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P214,,,,157.8400,132.5800,441.9400,,157.8400,149.9400,142.0500,,,,,157.8400,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP216RU,925 Fancy Juvite Pnd set with Ruby = 0.27ct. RRP$272.65,,MP216RU,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP216,,,,148.8700,125.0500,416.8300,,148.8700,141.4300,133.9800,,,,,148.8700,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP219MX,925 Fancy Juvite Pnd set with Ruby Sapphires Peridot Citrine & Amethyst. RRP$253.75,,MP219MX,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP219,,,,162.7700,136.7300,455.7600,,162.7700,154.6300,146.4900,,,,,162.7700,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP221MX,925 Fancy Juvite Pnd set with Citrine Sapphire & Ruby. RRP$244.65,,MP221MX,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP221,,,,156.9800,131.8600,439.5300,,156.9800,149.1300,141.2800,,,,,156.9800,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP222TOPE,925 Fancy Juvite Pnd set with Topaz = 0.55ct & Peridot = 0.25ct. RRP$228.00,,MP222TOPE,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P222,,,,146.7500,123.2700,410.8900,,146.7500,139.4100,132.0700,,,,,146.7500,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP226GA,925Fancy Juvite Pnd set with Garnet = 2.0cts. RRP$365.75,,MP226GA,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP226,,,,233.0600,195.7700,652.5600,,233.0600,221.4100,209.7500,,,,,233.0600,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP228AM,925 Fancy Juvite Pnd set with Amethyst = 4.60ct. RRP$470.00,,MP228AM,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P228,,,,271.6400,228.1700,760.5800,,271.6400,258.0500,244.4700,,,,,271.6400,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP235AM,925 Fancy Juvite Pnd set with Amethyst = 0.45ct. RRP$253.75,,MP235AM,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP235,,,,172.4500,144.8600,482.8700,,172.4500,163.8300,155.2100,,,,,172.4500,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP235GA,925 Fancy Juvite Pnd set with Garnet = 0.45ct. RRP$253.75,,MP235GA,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP235Ga,,,,172.4500,144.8600,482.8700,,172.4500,163.8300,155.2100,,,,,172.4500,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP344GA,925 Fancy Juvite Pnd set with Garnia CZ's CZ's = 0.30ct. RRP$275.00,,MP344GA,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P344,,,,150.2700,126.2200,420.7400,,150.2700,142.7500,135.2400,,,,,150.2700,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP385RU,925 Fancy Juvite Pnd set with Ruby = 0.12ct. RRP$245.00,,MP385RU,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P385,,,,134.4000,112.9000,376.3200,,134.4000,127.6800,120.9600,,,,,134.4000,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
